step,tl_id,max_length
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,1
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,1
47,0,1
48,0,1
49,0,1
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,3
56,0,3
57,0,3
58,0,3
59,0,3
60,0,4
61,0,4
62,0,4
63,0,4
64,0,4
65,0,4
66,0,5
67,0,5
68,0,5
69,0,5
70,0,5
71,0,6
72,0,6
73,0,6
74,0,6
75,0,6
76,0,7
77,0,7
78,0,7
79,0,7
80,0,7
81,0,8
82,0,8
83,0,8
84,0,8
85,0,8
86,0,8
87,0,9
88,0,9
89,0,9
90,0,10
91,0,10
92,0,10
93,0,10
94,0,10
95,0,10
96,0,11
97,0,11
98,0,11
99,0,11
100,0,12
101,0,12
102,0,12
103,0,12
104,0,12
105,0,13
106,0,12
107,0,12
108,0,12
109,0,12
110,0,11
111,0,10
112,0,10
113,0,10
114,0,9
115,0,8
116,0,8
117,0,7
118,0,8
119,0,6
120,0,6
121,0,5
122,0,4
123,0,5
124,0,4
125,0,3
126,0,2
127,0,2
128,0,2
129,0,2
130,0,2
131,0,3
132,0,3
133,0,3
134,0,3
135,0,3
136,0,3
137,0,3
138,0,3
139,0,3
140,0,3
141,0,3
142,0,3
143,0,4
144,0,4
145,0,4
146,0,4
147,0,5
148,0,5
149,0,5
150,0,5
151,0,5
152,0,5
153,0,5
154,0,5
155,0,5
156,0,4
157,0,4
158,0,4
159,0,3
160,0,3
161,0,3
162,0,3
163,0,3
164,0,3
165,0,3
166,0,4
167,0,4
168,0,4
169,0,4
170,0,5
171,0,5
172,0,5
173,0,5
174,0,6
175,0,6
176,0,6
177,0,6
178,0,6
179,0,7
180,0,7
181,0,7
182,0,7
183,0,8
184,0,8
185,0,8
186,0,8
187,0,8
188,0,9
189,0,9
190,0,9
191,0,9
192,0,10
193,0,10
194,0,10
195,0,10
196,0,10
197,0,10
198,0,11
199,0,11
200,0,11
201,0,12
202,0,12
203,0,13
204,0,12
205,0,12
206,0,12
207,0,12
208,0,13
209,0,13
210,0,13
211,0,13
212,0,12
213,0,12
214,0,13
215,0,12
216,0,12
217,0,11
218,0,11
219,0,11
220,0,10
221,0,9
222,0,8
223,0,8
224,0,7
225,0,8
226,0,8
227,0,8
228,0,8
229,0,8
230,0,8
231,0,8
232,0,10
233,0,10
234,0,10
235,0,10
236,0,11
237,0,12
238,0,13
239,0,14
240,0,14
241,0,15
242,0,15
243,0,16
244,0,16
245,0,16
246,0,16
247,0,16
248,0,17
249,0,17
250,0,17
251,0,17
252,0,17
253,0,17
254,0,18
255,0,18
256,0,18
257,0,18
258,0,18
259,0,19
260,0,19
261,0,19
262,0,19
263,0,20
264,0,20
265,0,20
266,0,20
267,0,20
268,0,21
269,0,21
270,0,21
271,0,21
272,0,22
273,0,22
274,0,22
275,0,22
276,0,22
277,0,22
278,0,23
279,0,23
280,0,24
281,0,23
282,0,24
283,0,24
284,0,24
285,0,24
286,0,25
287,0,25
288,0,25
289,0,25
290,0,26
291,0,26
292,0,26
293,0,26
294,0,27
295,0,27
296,0,27
297,0,27
298,0,27
299,0,27
300,0,27
301,0,27
302,0,27
303,0,26
304,0,26
305,0,25
306,0,25
307,0,24
308,0,23
309,0,23
310,0,23
311,0,22
312,0,22
313,0,21
314,0,21
315,0,20
316,0,19
317,0,19
318,0,19
319,0,18
320,0,18
321,0,17
322,0,16
323,0,16
324,0,15
325,0,14
326,0,13
327,0,12
328,0,13
329,0,12
330,0,11
331,0,11
332,0,10
333,0,10
334,0,9
335,0,8
336,0,9
337,0,8
338,0,7
339,0,6
340,0,6
341,0,6
342,0,7
343,0,7
344,0,7
345,0,7
346,0,7
347,0,7
348,0,7
349,0,7
350,0,7
351,0,7
352,0,7
353,0,7
354,0,8
355,0,8
356,0,8
357,0,8
358,0,8
359,0,8
360,0,8
361,0,8
362,0,8
363,0,8
364,0,8
365,0,7
366,0,7
367,0,7
368,0,6
369,0,7
370,0,7
371,0,8
372,0,9
373,0,10
374,0,10
375,0,11
376,0,11
377,0,12
378,0,13
379,0,14
380,0,14
381,0,14
382,0,15
383,0,15
384,0,15
385,0,15
386,0,15
387,0,16
388,0,16
389,0,16
390,0,16
391,0,16
392,0,17
393,0,17
394,0,17
395,0,17
396,0,17
397,0,17
398,0,17
399,0,17
400,0,17
401,0,17
402,0,17
403,0,17
404,0,18
405,0,18
406,0,18
407,0,18
408,0,18
409,0,18
410,0,18
411,0,19
412,0,19
413,0,19
414,0,19
415,0,18
416,0,19
417,0,19
418,0,18
419,0,17
420,0,17
421,0,16
422,0,15
423,0,15
424,0,13
425,0,13
426,0,12
427,0,12
428,0,11
429,0,10
430,0,9
431,0,9
432,0,9
433,0,8
434,0,7
435,0,6
436,0,6
437,0,6
438,0,5
439,0,5
440,0,5
441,0,5
442,0,5
443,0,5
444,0,5
445,0,5
446,0,5
447,0,5
448,0,5
449,0,5
450,0,5
451,0,5
452,0,5
453,0,6
454,0,6
455,0,6
456,0,6
457,0,6
458,0,6
459,0,6
460,0,6
461,0,6
462,0,6
463,0,6
464,0,6
465,0,6
466,0,6
467,0,6
468,0,6
469,0,6
470,0,6
471,0,6
472,0,6
473,0,6
474,0,5
475,0,5
476,0,5
477,0,4
478,0,4
479,0,4
480,0,4
481,0,4
482,0,4
483,0,4
484,0,5
485,0,5
486,0,5
487,0,5
488,0,5
489,0,6
490,0,6
491,0,6
492,0,6
493,0,7
494,0,7
495,0,7
496,0,7
497,0,7
498,0,8
499,0,8
500,0,8
501,0,8
502,0,8
503,0,9
504,0,9
505,0,9
506,0,9
507,0,9
508,0,10
509,0,10
510,0,10
511,0,10
512,0,10
513,0,10
514,0,10
515,0,11
516,0,11
517,0,11
518,0,11
519,0,12
520,0,12
521,0,12
522,0,12
523,0,13
524,0,13
525,0,13
526,0,13
527,0,13
528,0,13
529,0,13
530,0,13
531,0,13
532,0,13
533,0,13
534,0,13
535,0,11
536,0,11
537,0,10
538,0,10
539,0,9
540,0,9
541,0,8
542,0,7
543,0,7
544,0,6
545,0,5
546,0,4
547,0,4
548,0,5
549,0,5
550,0,5
551,0,5
552,0,5
553,0,5
554,0,5
555,0,5
556,0,6
557,0,6
558,0,6
559,0,6
560,0,6
561,0,6
562,0,6
563,0,6
564,0,6
565,0,6
566,0,6
567,0,6
568,0,6
569,0,6
570,0,6
